word,partOfSpeech,meaning,example,translation,synonyms,collocation,category,level
certification,noun,認證,Please review the certification before the meeting.,請在會議前確認這項認證。,enfranchisement; documentation,certification details,Business,Basic
chain,noun,連鎖店；鏈條,Please review the chain before the meeting.,請在會議前確認這項連鎖店。,concatenation; chemical chain,chain details,Business,Basic
chair,noun,椅子；主持,Please review the chair before the meeting.,請在會議前確認這項椅子。,professorship; president,chair details,Business,Basic
chairman,noun,主席,Please review the chairman before the meeting.,請在會議前確認這項主席。,president; chairwoman,chairman details,Business,Basic
chairperson,noun,主席；主持人,Please review the chairperson before the meeting.,請在會議前確認這項主席。,president; chairman,chairperson details,Business,Basic
characteristic,noun,特徵；特色,Please review the characteristic before the meeting.,請在會議前確認這項特徵。,feature,characteristic details,Business,Basic
characterize,verb,描述……的特徵,Please characterize the document before Friday.,請在星期五前描述……的特徵這份文件。,qualify; characterise,characterize a request,Business,Basic
charge,noun,收費；費用,There is no extra charge for delivery.,配送不收取額外費用。,complaint,charge details,Business,Basic
charity,noun,慈善機構；慈善,Please review the charity before the meeting.,請在會議前確認這項慈善機構。,brotherly love,charity details,Business,Basic
cheap,adjective,便宜的,The company needs a cheap solution for this issue.,公司需要一個便宜的的解決方案來處理這個問題。,inexpensive; brassy,cheap policy,Business,Basic
check,noun,檢查；支票,Please check the invoice for errors.,請檢查發票是否有錯誤。,bank check; cheque,check details,Business,Basic
chef,noun,主廚,Please review the chef before the meeting.,請在會議前確認這項主廚。,-,chef details,Business,Basic
circumstances,noun,情況；環境,Please review the circumstances before the meeting.,請在會議前確認這項情況。,fortune; destiny,circumstances details,Business,Basic
claim,noun,索賠；聲稱,The customer filed a claim for the damaged package.,顧客針對受損包裹提出索賠。,-,claim details,Business,Basic
claimant,noun,索賠人；申請人,Please review the claimant before the meeting.,請在會議前確認這項索賠人。,-,claimant details,Business,Basic
classification,noun,分類；類別,Please review the classification before the meeting.,請在會議前確認這項分類。,categorization; categorisation,classification details,Business,Basic
classify,verb,分類,Please classify the document before Friday.,請在星期五前分類這份文件。,class; sort,classify a request,Business,Basic
clerk,noun,職員,Please review the clerk before the meeting.,請在會議前確認這項職員。,salesclerk; shop clerk,clerk details,Business,Basic
client,noun,客戶,The client requested a revised estimate.,客戶要求一份修改後的估價。,customer; buyer,client details,Business,Basic
climate,noun,氣候；氛圍,Please review the climate before the meeting.,請在會議前確認這項氣候。,clime; mood,climate details,Business,Basic
closure,noun,關閉,Please review the closure before the meeting.,請在會議前確認這項關閉。,closing; cloture,closure details,Business,Basic
coach,noun,教練；長途巴士,Please review the coach before the meeting.,請在會議前確認這項教練。,manager; handler,coach details,Business,Basic
code,noun,代碼；規範,Please review the code before the meeting.,請在會議前確認這項代碼。,codification; computer code,code details,Business,Basic
collect,verb,收集；領取,Please collect the document before Friday.,請在星期五前收集這份文件。,roll up; accumulate,collect a request,Business,Basic
commence,verb,開始；著手,Please commence the document before Friday.,請在星期五前開始這份文件。,get down; begin,commence a request,Business,Basic
commission,noun,佣金；委員會,Please review the commission before the meeting.,請在會議前確認這項佣金。,committee; commissioning,commission details,Business,Basic
commit,verb,承諾；投入；犯下,Please commit the document before Friday.,請在星期五前承諾這份文件。,perpetrate; pull,commit a request,Business,Basic
committee,noun,委員會,The committee will review the proposal tomorrow.,委員會明天將審查提案。,commission; citizens committee,committee details,Business,Basic
common,adjective,常見的；共同的,The company needs a common solution for this issue.,公司需要一個常見的的解決方案來處理這個問題。,mutual,common policy,Business,Basic
commonly,adverb,通常；一般地,The staff handled the request commonly.,員工以通常的方式處理這項請求。,normally; usually,respond commonly,Business,Basic
commute,noun,通勤,Many employees commute by train every day.,許多員工每天搭火車通勤。,-,commute details,Business,Basic
commuter,noun,通勤者,Please review the commuter before the meeting.,請在會議前確認這項通勤者。,commuter train,commuter details,Business,Basic
company,noun,公司,The company will launch a new product next month.,公司下個月將推出新產品。,companionship; fellowship,company details,Business,Basic
comparable,adjective,可比較的；類似的,The company needs a comparable solution for this issue.,公司需要一個可比較的的解決方案來處理這個問題。,corresponding; like,comparable policy,Business,Basic
compare,verb,比較,Please compare the document before Friday.,請在星期五前比較這份文件。,liken; equate,compare a request,Business,Basic
compatible,adjective,相容的,The company needs a compatible solution for this issue.,公司需要一個相容的的解決方案來處理這個問題。,-,compatible policy,Business,Basic
compensate,verb,補償,Please compensate the document before Friday.,請在星期五前補償這份文件。,counterbalance; correct,compensate a request,Business,Basic
compensation,noun,補償；薪酬,Please review the compensation before the meeting.,請在會議前確認這項補償。,recompense,compensation details,Business,Basic
competent,adjective,有能力的,The company needs a competent solution for this issue.,公司需要一個有能力的的解決方案來處理這個問題。,-,competent policy,Business,Basic
competition,noun,競爭,Please review the competition before the meeting.,請在會議前確認這項競爭。,contest; contention,competition details,Business,Basic
competitive,adjective,有競爭力的,The company needs a competitive solution for this issue.,公司需要一個有競爭力的的解決方案來處理這個問題。,competitory; free-enterprise,competitive policy,Business,Basic
competitor,noun,競爭者,Please review the competitor before the meeting.,請在會議前確認這項競爭者。,rival; challenger,competitor details,Business,Basic
complain,verb,抱怨,Please complain the document before Friday.,請在星期五前抱怨這份文件。,kick; plain,complain a request,Business,Basic
